predicted_answer,compression_ratio
unanswerable,0.8
approach originally proposed for face recognition,0.8
by 0.8% to 3.0%,0.8
context tweets,0.8
unanswerable,0.8
unanswerable,0.8
Baseline Experiments,0.8
"CNN/DailyMail, NYT, XSum",0.8
unanswerable,0.8
"The algorithm started with the best performing model and added the next best model that improved validation performance, continuing until five models were selected for the ensemble.",0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
yes,0.8
unanswerable,0.8
unanswerable,0.8
RNN-based NMT and Transformer,0.8
"Incorporating neutral features, maximum entropy regularization, and KL divergence.",0.8
"SVM with n-gram or average word embedding feature, CNN, RCNN",0.8
they greatly improved the performance on the second task,0.8
unanswerable,0.8
context-agnostic baseline MT system,0.8
"accuracy, LAS (Parsing Accuracy)",0.8
unanswerable,0.8
unanswerable,0.8
character-based encoder-decoder model,0.8
unanswerable,0.8
unanswerable,0.8
"over 20,000",0.8
"automatic coherence measures, personalization metrics",0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
6-layers and 9-layers sMBR models,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
"Users marked the top suggestion from the autocomplete system to be semantically equivalent to the target 80.6% of the time, and one of the top 3 was semantically equivalent 90.11% of the time.",0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
non-English language and English,0.8
table 4 compares the models as complexity of the task is increased.,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
arguments in the discourse,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
two different datasets,0.8
unanswerable,0.8
by calculating average per-group mean and average coefficient of variation,0.8
using dual RNNs and then combines the information from these sources using a feed-forward neural model,0.8
"2.11 BLEU, 1.7 FKGL and 1.07 SARI",0.8
unanswerable,0.8
tweets that became viral during the day of the 2016 US presidential election,0.8
unanswerable,0.8
Sharif DeepMine company,0.8
machine learning and deep learning methods,0.8
unanswerable,0.8
character-based encoder-decoder model,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
Using a bilingual dictionary (Google Translate word translation).,0.8
unanswerable,0.8
unanswerable,0.8
"CNN-RNN based image-to-poem net for painting embedding, seq2seq model for language style transfer",0.8
unanswerable,0.8
unanswerable,0.8
"sexism, racism, personal attacks",0.8
They presented a new context representation for relation classification.,0.8
unanswerable,0.8
unanswerable,0.8
"65% of the speakers are men, speaking more than 75% of the time.",0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
"CSAT, 20newsgroups, Fisher",0.8
unanswerable,0.8
Yes,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
English,0.8
SVMs and neural networks,0.8
unanswerable,0.8
unanswerable,0.8
"Their models generated plausible, personalized, and coherent recipes preferred by human evaluators.",0.8
combination of rewards for reinforcement learning and incorporate reinforcement learning with a pre-training process,0.8
"Since we do not have an end-to-end dataset, the generated English poem may not work well with Shakespeare style transfer.",0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
word subspace can represent the content of texts.,0.8
S1,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
unanswerable,0.8
Initial crowd-sourcing experiments show high agreement across probes and that human scores correlate with the model trends.,0.8
unanswerable,0.8
unanswerable,0.8
novel tagging scheme,0.8
unanswerable,0.8
Robustness of a model is defined as its ability to handle unbalanced labeled features and perform well even when assumptions about the true class distribution are not perfectly met.,0.8
"InferSent, Universal Sentence Encoder, average GloVe embeddings",0.8
unanswerable,0.8
Task 1 and Task 2,0.8
