predicted_answer,compression_ratio
unanswerable,0.95
unanswerable,0.95
68.8% to 71.8%,0.95
ensemble models of variant models and features,0.95
unanswerable,0.95
unanswerable,0.95
Baseline Experiments,0.95
Three datasets.,0.95
unanswerable,0.95
The algorithm tried adding the best performing model not previously tried and kept it if it improved validation performance.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
greatly improve,0.95
unanswerable,0.95
unanswerable,0.95
sentence classification and dependency parsing,0.95
unanswerable,0.95
cognitive features obtained from readers' eye-movement data,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Coherence and goal accomplishment,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
scholars from very different disciplines,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"source domain: source domain, target domain: target domain",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
argument components,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable.,0.95
Empirically evaluated through baseline results and stability on low-resource languages.,0.95
unanswerable,0.95
substantial gains,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Sharif DeepMine company,0.95
machine learning and deep learning methods,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
various topics,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"Stanford NLP, CogComp-NLP, TensiStrength",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
SVMs and neural networks,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"combination of rewards for reinforcement learning is designed to control irony accuracy, sentiment preservation and content preservation at the same time.",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
semantic meaning,0.95
unanswerable,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
High agreement across probes and human scores correlate with model trends.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Robustness of a model is defined by its sensitivity to the true distribution.,0.95
Unanswerable.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
KB relation detection,0.95
unanswerable,0.95
unanswerable,0.95
Natural Language,0.95
unanswerable,0.95
unanswerable,0.95
"SVM with ADWS kernel, Logistic Regression",0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
The evaluation results show the ability of the model to detect some biases in the process of collecting or annotating datasets.,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
neural machine translation and abstractive document summarization,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
RNN-based,0.95
unanswerable,0.95
effective,0.95
Yes,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
TF-IDF features,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Two popular sports clubs in Turkey.,0.95
large-scale dataset,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
dimensionality of skip-gram embeddings and number of clusters,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
Li and Roth BIBREF6 model,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
yes,0.95
Unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
unanswerable,0.95
"GraphQuestions, ComplexQuestions",0.95
"They've got their carriage back, but what's an empty carriage?",0.95
Because Mary is still grieving and in love with Henry.,0.95
In a city,0.95
To persuade Socrates to escape from prison.,0.95
To take his lands and possessions.,0.95
The text does not mention Mortimer Trefinnis' sister or when she died.,0.95
Not applicable,0.95
Venkman,0.95
American,0.95
Lovers,0.95
Because Anthony Rogers is a war hero and experienced fighter from the past.,0.95
"People stare at him, follow him, and seem afraid of him.",0.95
Twenty days,0.95
Madame de Vervelle's niece,0.95
Honoré de Balzac,0.95
Venkman brings it in when he returns Dana and the baby to the museum.,0.95
Elder Childers argues for a Methodist-Baptist conflict.,0.95
Because Anthony Rogers is a war hero and experienced fighter from the past.,0.95
A figure with a cloth draped over its face.,0.95
Three,0.95
To avenge his sister's death.,0.95
2419 A.D.,0.95
Not mentioned in the story.,0.95
going against justice,0.95
American,0.95
Driver,0.95
"Returning evil for evil and injury for injury would wrong himself, friends, country, and laws.",0.95
Not specified in the provided text.,0.95
Go back and destroy it.,0.95
Silent accusers with cloth drapped over their faces.,0.95
Because Beerbohm was cut by the devil.,0.95
Inside a week.,0.95
JOF,0.95
Not mentioned in the story.,0.95
Immortality,0.95
He was worried about being caught with a forged reference.,0.95
Shot by Benson,0.95
To investigate Chaldean roots.,0.95
Janosz,0.95
Through her religious devotion and benevolence.,0.95
In the museum.,0.95
Yoichi,0.95
In a prison or similar setting.,0.95
By watching the cursed videotape.,0.95
Not mentioned in the story.,0.95
Always wore a black tailcoat and white trousers.,0.95
The Emperor,0.95
Through her religious devotion and benevolence.,0.95
Methodist,0.95
Mr. Verdier,0.95
"Righteousness, wisdom, and justice.",0.95
She breaks the curse by copying the tape.,0.95
Silent accusers with cloth drapped over their faces.,0.95
The Sinsing Gang,0.95
Ursula,0.95
Help Janosz with the bill.,0.95
Draws magnificent income.,0.95
Falder,0.95
Not mentioned,0.95
A check for the bill.,0.95
Marriage warm and kind,0.95
In the closet,0.95
Eli,0.95
"Troy, Oklahoma",0.95
The story does not mention who discovered the Tregennis siblings.,0.95
Demon/Jezzie,0.95
Doctor,0.95
Read and decide on the application of The Coxon Fund.,0.95
Madame de Maisonrouge and the German gentleman,0.95
Inside a week.,0.95
Madame de Fougeres,0.95
Copies the tape and shows it to someone else.,0.95
severe master,0.95
Obey the laws.,0.95
By jumping.,0.95
Copying the tape and showing it to someone else,0.95
Bertha Treginnis,0.95
Walled off the closet and used it for Josephine's confinement.,0.95
Visiting the continent,0.95
Clifford Worley's profession is not specified in the screenplay.,0.95
Radiation,0.95
Not specified,0.95
A comic book,0.95
Not specified,0.95
She stepped in water spilled from a vase.,0.95
Enemy,0.95
No one,0.95
Not mentioned in the story.,0.95
Being cut by the devil deliberately.,0.95
Not mentioned,0.95
Sinsing Gang,0.95
In the car.,0.95
Not related.,0.95
He will be received as an enemy.,0.95
did not allow her to intercede for the dying man,0.95
Not mentioned in the story.,0.95
Grassou is a charlatan.,0.95
Feuilletons taking no notice of his pictures,0.95
Tony Scott,0.95
Failed to report and obtained employment with a forged reference.,0.95
Ruth,0.95
Not mentioned,0.95
Not mentioned in the text.,0.95
Hold each other's hands and dance.,0.95
The story does not mention anyone defending Lazarus during his murder trial.,0.95
to struggle for resignation,0.95
severe master,0.95
To support her health and dissipate care.,0.95
Dr. Sterndale,0.95
Not mentioned in the story.,0.95
American,0.95
Sinsing,0.95
When she looks at Ryujis version of the tape.,0.95
Not mentioned in the story.,0.95
Not specified in the given text.,0.95
Imaginary medieval Europe,0.95
Dies from the curse.,0.95
Clerks' room,0.95
"They've got their carriage back, but what's an empty carriage?",0.95
In the closet,0.95
Artists continue to disparage his work.,0.95
The way to break the curse by copying the videotape and showing it to someone else.,0.95
